row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
2231,Kepler-272 b,,0.128,2.971353,2014
2232,Kepler-272 c,,0.16,6.057342,2014
2233,Kepler-272 d,,0.201,10.937304,2014
2234,Kepler-273 b,,0.134,2.936532,2014
2235,Kepler-273 c,,0.177,8.014927,2014
2236,Kepler-274 b,,0.137,11.634788,2014
2237,Kepler-274 c,,0.164,33.197861,2014
2238,Kepler-275 b,,0.209,10.300682,2014
2239,Kepler-275 c,,0.302,16.088134,2014
2240,Kepler-275 d,,0.297,35.676062,2014
2241,Kepler-276 b,,0.256,14.12841,2014
2242,Kepler-276 c,0.045,0.259,31.884,2013
2243,Kepler-276 d,0.044,0.25,48.648,2013
2244,Kepler-277 b,0.28,0.261,17.324,2013
2245,Kepler-277 c,0.21,0.3,33.006,2013
2246,Kepler-278 b,,0.409,30.15856,2014
2247,Kepler-278 c,,0.295,51.0851,2014
2248,Kepler-279 b,,0.323,12.309681,2014
2249,Kepler-279 c,0.171,0.385,35.736,2013
2250,Kepler-279 d,0.13,0.277,54.414,2013
2251,Kepler-28 b,1.51,0.32,5.9123,2012
2252,Kepler-28 c,1.36,0.3,8.9858,2012
2253,Kepler-280 b,,0.129,2.139542,2014
2254,Kepler-280 c,,0.179,4.807091,2014
2255,Kepler-281 b,,0.252,14.646008,2014
2256,Kepler-281 c,,0.474,36.337373,2014
2257,Kepler-282 b,,0.09,9.220524,2014
2258,Kepler-282 c,,0.107,13.638723,2014
2259,Kepler-282 d,0.204,0.22,24.806,2013
2260,Kepler-282 e,0.192,0.277,44.347,2013
2261,Kepler-283 b,,0.19,11.008151,2014
2262,Kepler-283 c,,0.162,92.743711,2014
2263,Kepler-284 b,,0.2,12.699149,2014
2264,Kepler-284 c,,0.233,37.514456,2014
2265,Kepler-285 b,,0.12,2.633867,2014
2266,Kepler-285 c,,0.1,6.186676,2014
2267,Kepler-286 b,,0.111,1.796302,2014
2268,Kepler-286 c,,0.122,3.468095,2014
2269,Kepler-286 d,,0.119,5.914323,2014
2270,Kepler-286 e,,0.158,29.221289,2014
2271,Kepler-287 b,,0.208,20.342199,2014
2272,Kepler-287 c,,0.291,44.851896,2014
2273,Kepler-288 b,,0.149,6.097326,2014
2274,Kepler-288 c,,0.254,19.305772,2014
2275,Kepler-288 d,,0.238,56.633742,2014
2276,Kepler-289 b,0.023,0.192,34.545,2014
2277,Kepler-289 c,0.013,0.239,66.0634,2014
2278,Kepler-289 d,0.415,1.034,125.8518,2014
2279,Kepler-29 b,0.0142,0.299,10.3376,2012
2280,Kepler-29 c,0.013,0.28,13.2907,2012
2281,Kepler-290 b,,0.201,14.589347,2014
2282,Kepler-290 c,,0.241,36.77031,2014
2283,Kepler-291 b,,0.193,3.546511,2014
2284,Kepler-291 c,,0.168,5.700786,2014
2285,Kepler-292 b,,0.118,2.580827,2014
2286,Kepler-292 c,,0.131,3.715335,2014
2287,Kepler-292 d,,0.199,7.055679,2014
2288,Kepler-292 e,,0.238,11.97901,2014
2289,Kepler-292 f,,0.21,20.834237,2014
2290,Kepler-293 b,,0.274,19.254196,2014
2291,Kepler-293 c,,0.342,54.155743,2014
2292,Kepler-294 b,,0.158,3.701212,2014
2293,Kepler-294 c,,0.242,6.6264,2014
2294,Kepler-295 b,,0.109,12.645164,2014
2295,Kepler-295 c,,0.104,21.526258,2014
2296,Kepler-295 d,,0.121,33.884054,2014
2297,Kepler-296 b,,0.084,3.621457,2014
2298,Kepler-296 c,,0.192,5.841648,2014
2299,Kepler-296 d,,0.203,19.850242,2014
2300,Kepler-296 e,,0.156,34.142347,2014
2301,Kepler-296 f,,0.16,63.335879,2014
2302,Kepler-297 b,,0.256,38.871826,2014
2303,Kepler-297 c,,0.583,74.920137,2014
2304,Kepler-298 b,,0.175,10.475464,2014
2305,Kepler-298 c,,0.172,22.92881,2014
2306,Kepler-298 d,,0.223,77.473633,2014
2307,Kepler-299 b,,0.118,2.927128,2014
2308,Kepler-299 c,,0.236,6.885875,2014
2309,Kepler-299 d,,0.166,15.054786,2014
2310,Kepler-299 e,,0.167,38.285489,2014
2311,Kepler-30 b,0.036,0.35,29.334,2012
2312,Kepler-30 c,2.01,1.1,60.3231,2012
2313,Kepler-30 d,0.073,0.79,143.343,2012
2314,Kepler-300 b,,0.149,10.446347,2014
2315,Kepler-300 c,,0.201,40.714955,2014
2316,Kepler-301 b,,0.12,2.508553,2014
2317,Kepler-301 c,,0.12,5.419026,2014
2318,Kepler-301 d,,0.156,13.751243,2014
2319,Kepler-302 b,,0.362,30.184104,2014
2320,Kepler-302 c,,1.111,127.282184,2014
2321,Kepler-303 b,,0.079,1.937055,2014
2322,Kepler-303 c,,0.102,7.061149,2014
2323,Kepler-304 b,,0.255,3.295709,2014
2324,Kepler-304 c,,0.194,5.315946,2014
2325,Kepler-304 d,,0.245,9.653471,2014
2326,Kepler-304 e,,0.107,1.49914695,2016
2327,Kepler-305 b,0.0356,0.322,5.487,2013
2328,Kepler-305 c,0.0192,0.295,8.291,2013
2329,Kepler-305 d,,0.242,16.738661,2014
2330,Kepler-306 b,,0.136,4.646186,2014
2331,Kepler-306 c,,0.21,7.240193,2014
2332,Kepler-306 d,,0.22,17.326644,2014
2333,Kepler-306 e,,0.203,44.840975,2014
2334,Kepler-307 b,0.0234,0.217,10.416,2013
2335,Kepler-307 c,0.01147,0.196,13.084,2013
2336,Kepler-308 b,,0.189,9.694928,2014
2337,Kepler-308 c,,0.193,15.38231,2014
2338,Kepler-309 b,,0.139,5.923653,2014
2339,Kepler-309 c,,0.224,105.356383,2014
2340,Kepler-31 b,,0.38,20.8613,2012
2341,Kepler-31 c,4.7,0.38,42.6318,2012
2342,Kepler-31 d,,0.407,87.648901,2014
2343,Kepler-310 b,,0.106,13.930698,2014
2344,Kepler-310 c,,0.302,56.47542,2014
2345,Kepler-310 d,,0.22,92.876125,2014
2346,Kepler-311 b,,0.152,9.176092,2014
2347,Kepler-311 c,,0.128,19.738286,2014
2348,Kepler-312 b,,0.115,1.772419,2014
2349,Kepler-312 c,,0.281,19.747412,2014
2350,Kepler-313 b,,0.226,14.970418,2014
2351,Kepler-313 c,,0.229,32.273273,2014
2352,Kepler-314 b,,0.074,2.461069,2014
2353,Kepler-314 c,,0.259,5.960392,2014
2354,Kepler-315 b,,0.336,96.101141,2014
2355,Kepler-315 c,,0.37,265.469335,2014
2356,Kepler-316 b,,0.095,2.240508,2014
2357,Kepler-316 c,,0.103,6.827766,2014
2358,Kepler-317 b,,0.186,5.524242,2014
2359,Kepler-317 c,,0.153,8.77501,2014
2360,Kepler-318 b,,0.42,4.662715,2014
2361,Kepler-318 c,,0.328,11.815007,2014
2362,Kepler-319 b,,0.145,4.362705,2014
2363,Kepler-319 c,,0.235,6.941357,2014
2364,Kepler-319 d,,0.204,31.781925,2014
2365,Kepler-32 b,4.1,0.37,5.90124,2012
2366,Kepler-32 c,0.5,0.33,8.7522,2012
2367,Kepler-320 b,,0.102,8.371554,2014
2368,Kepler-320 c,,0.122,17.934937,2014
2369,Kepler-321 b,,0.158,4.915379,2014
2370,Kepler-321 c,,0.207,13.093921,2014
2371,Kepler-322 b,,0.09,1.653888,2014
2372,Kepler-322 c,,0.149,4.337234,2014
2373,Kepler-323 b,,0.128,1.678327,2014
2374,Kepler-323 c,,0.145,3.553822,2014
2375,Kepler-324 b,,0.102,4.385315,2014
2376,Kepler-324 c,,0.281,51.805612,2014
2377,Kepler-325 b,,0.26,4.544439,2014
2378,Kepler-325 c,,0.227,12.762172,2014
2379,Kepler-325 d,,0.249,38.715185,2014
2380,Kepler-326 b,,0.136,2.248329,2014
2381,Kepler-326 c,,0.125,4.580358,2014
2382,Kepler-326 d,,0.108,6.766888,2014
2383,Kepler-327 b,,0.099,2.549575,2014
2384,Kepler-327 c,,0.092,5.212333,2014
2385,Kepler-327 d,,0.154,13.969457,2014
2386,Kepler-328 b,0.069,0.206,34.921,2013
2387,Kepler-328 c,0.1,0.483,71.312,2013
2388,Kepler-329 b,,0.125,7.416397,2014
2389,Kepler-329 c,,0.172,18.684737,2014
2390,Kepler-33 b,,0.16,5.66793,2012
2391,Kepler-33 c,,0.29,13.17562,2012
2392,Kepler-33 d,,0.48,21.77596,2012
2393,Kepler-33 e,,0.36,31.7844,2012
2394,Kepler-33 f,,0.4,41.02902,2012
2395,Kepler-330 b,,0.12,8.25978,2014
2396,Kepler-330 c,,0.174,15.955387,2014
2397,Kepler-331 b,,0.162,8.457496,2014
2398,Kepler-331 c,,0.164,17.28111,2014
2399,Kepler-331 d,,0.146,32.134328,2014
2400,Kepler-332 b,,0.104,7.626324,2014
2401,Kepler-332 c,,0.097,15.995622,2014
2402,Kepler-332 d,,0.105,34.21154,2014
2403,Kepler-333 b,,0.118,12.551158,2014
2404,Kepler-333 c,,0.099,24.08821,2014
2405,Kepler-334 b,,0.1,5.470319,2014
2406,Kepler-334 c,,0.128,12.758005,2014
2407,Kepler-334 d,,0.126,25.09849,2014
2408,Kepler-335 b,,0.302,6.562331,2014
2409,Kepler-335 c,,0.274,67.844469,2014
2410,Kepler-336 b,,0.091,2.024823,2014
2411,Kepler-336 c,,0.187,9.600001,2014
2412,Kepler-336 d,,0.211,20.678772,2014
2413,Kepler-337 b,,0.137,3.292781,2014
2414,Kepler-337 c,,0.183,9.693201,2014
2415,Kepler-338 b,0.0963,0.23,13.72699,2014
2416,Kepler-338 c,,0.221,24.31168,2014
2417,Kepler-338 d,,0.237,44.4287,2014
2418,Kepler-338 e,0.027,0.1416,9.34149,2014
2419,Kepler-339 b,,0.127,4.977656,2014
2420,Kepler-339 c,,0.103,6.988055,2014
2421,Kepler-339 d,,0.104,10.558345,2014
2422,Kepler-34 (AB)  b,0.219928893,0.763673412,288.822,2012
2423,Kepler-340 b,,0.226,14.844387,2014
2424,Kepler-340 c,,0.301,22.824669,2014
2425,Kepler-341 b,,0.105,5.195528,2014
2426,Kepler-341 c,,0.152,8.01041,2014
2427,Kepler-341 d,,0.165,27.666313,2014
2428,Kepler-341 e,,0.178,42.473269,2014
2429,Kepler-342 b,,0.201,15.170318,2014
2430,Kepler-342 c,,0.175,26.234138,2014
2431,Kepler-342 d,,0.222,39.459357,2014
2432,Kepler-342 e,,0.079,1.64422461,2016
2433,Kepler-343 b,,0.215,8.96855,2014
2434,Kepler-343 c,,0.18,23.22182,2014
2435,Kepler-344 b,,0.233,21.963945,2014
2436,Kepler-344 c,,0.263,125.596809,2014
2437,Kepler-345 b,,0.066,7.415563,2014
2438,Kepler-345 c,,0.107,9.387427,2014
2439,Kepler-346 b,,0.237,6.511127,2014
2440,Kepler-346 c,,0.274,23.851549,2014
2441,Kepler-347 b,,0.176,12.79836,2014
2442,Kepler-347 c,,0.156,27.320871,2014
2443,Kepler-348 b,,0.136,7.05677,2014
2444,Kepler-348 c,,0.119,17.265427,2014
2445,Kepler-349 b,,0.17,5.929778,2014
2446,Kepler-349 c,,0.175,12.247629,2014
2447,Kepler-35 (AB) b,0.126797344,0.727987738,131.458,2012
2448,Kepler-350 b,,0.165,11.189562,2014
2449,Kepler-350 c,0.0176,0.277,17.849,2013
2450,Kepler-350 d,0.048,0.25,26.136,2013
2451,Kepler-351 b,,0.273,37.054919,2014
2452,Kepler-351 c,,0.285,57.24809,2014
2453,Kepler-351 d,,0.243,142.544247,2016
2454,Kepler-352 b,,0.077,10.05537,2014
2455,Kepler-352 c,,0.111,16.332995,2014
2456,Kepler-353 b,,0.079,5.795278,2014
2457,Kepler-353 c,,0.123,8.410894,2014
2458,Kepler-354 b,,0.164,5.47666,2014
2459,Kepler-354 c,,0.117,16.934402,2014
2460,Kepler-354 d,,0.111,24.209842,2014
2461,Kepler-355 b,,0.13,11.03189,2014
2462,Kepler-355 c,,0.242,25.762294,2014
2463,Kepler-356 b,,0.14,4.612696,2014
2464,Kepler-356 c,,0.161,13.121632,2014
2465,Kepler-357 b,,0.164,6.475434,2014
2466,Kepler-357 c,,0.238,16.85837,2014
2467,Kepler-357 d,,0.306,49.499875,2014
2468,Kepler-358 b,,0.243,34.060467,2014
2469,Kepler-358 c,,0.254,83.488369,2014
2470,Kepler-359 b,,0.315,25.563222,2014
2471,Kepler-359 c,,0.384,57.68802,2014
2472,Kepler-359 d,,0.358,77.095691,2014
2473,Kepler-36 b,0.014032659,0.132036992,13.83989,2012
2474,Kepler-36 c,0.0254149,0.3282,16.23855,2012
2475,Kepler-360 b,,0.147,3.289672,2014
2476,Kepler-360 c,,0.187,7.186434,2014
2477,Kepler-361 b,,0.129,8.486616,2014
2478,Kepler-361 c,,0.225,55.188023,2014
2479,Kepler-362 b,,0.079,10.327186,2014
2480,Kepler-362 c,,0.129,37.866281,2014
2481,Kepler-363 b,,0.103,3.614568,2014
2482,Kepler-363 c,,0.151,7.542427,2014
2483,Kepler-363 d,,0.183,11.932125,2014
2484,Kepler-364 b,,0.138,25.745718,2014
2485,Kepler-364 c,,0.192,59.980627,2014
2486,Kepler-365 b,,0.182,10.664903,2014
2487,Kepler-365 c,,0.146,17.784129,2014
2488,Kepler-366 b,,0.13,3.281959,2014
2489,Kepler-366 c,,0.16,12.51616,2014
2490,Kepler-367 b,,0.116,37.815724,2014
2491,Kepler-367 c,,0.107,53.578637,2014
2492,Kepler-368 b,,0.291,26.84768,2014
2493,Kepler-368 c,,0.346,72.379334,2014
2494,Kepler-369 b,,0.101,2.732756,2014
2495,Kepler-369 c,,0.126,14.871572,2014
2496,Kepler-37 b,0.008746814,0.028548539,13.367308,2013
2497,Kepler-37 c,0.031463361,0.066910638,21.301886,2013
2498,Kepler-37 d,0.0383853,0.173075516,39.792187,2013
2499,Kepler-370 b,,0.142,4.57953,2014
2500,Kepler-370 c,,0.17,19.02293,2014
2501,Kepler-371 b,,0.169,34.763278,2014
2502,Kepler-371 c,,0.159,67.968015,2014
2503,Kepler-372 b,,0.121,6.849692,2014
2504,Kepler-372 c,,0.186,20.053763,2014
2505,Kepler-372 d,,0.151,30.092568,2014
2506,Kepler-373 b,,0.121,5.535309,2014
2507,Kepler-373 c,,0.111,16.725948,2014
2508,Kepler-374 b,,0.092,1.897806,2014
2509,Kepler-374 c,,0.098,3.282807,2014
2510,Kepler-374 d,,0.117,5.028219,2014
2511,Kepler-375 b,,0.129,12.125934,2014
2512,Kepler-375 c,,0.236,19.986326,2014
2513,Kepler-376 b,,0.095,4.920199,2014
2514,Kepler-376 c,,0.16,14.172327,2014
2515,Kepler-377 b,,0.124,12.509529,2014
2516,Kepler-377 c,,0.184,27.014976,2014
2517,Kepler-378 b,,0.067,16.092361,2014
2518,Kepler-378 c,,0.062,28.906009,2014
2519,Kepler-379 b,,0.148,20.09838,2014
2520,Kepler-379 c,,0.204,62.784697,2014
2521,Kepler-38 (AB) b,0.38,0.39,105.595,2012
2522,Kepler-380 b,,0.106,3.930821,2014
2523,Kepler-380 c,,0.113,7.630004,2014
2524,Kepler-381 b,,0.088,5.629021,2014
2525,Kepler-381 c,,0.1,13.391635,2014
2526,Kepler-382 b,,0.118,5.262155,2014
2527,Kepler-382 c,,0.142,12.162701,2014
2528,Kepler-383 b,,0.118,12.904532,2014
2529,Kepler-383 c,,0.111,31.200751,2014
2530,Kepler-384 b,,0.1,22.597053,2014
2531,Kepler-384 c,,0.101,45.348269,2014
2532,Kepler-385 b,,0.244,10.043686,2014
2533,Kepler-385 c,,0.271,15.163161,2014
2534,Kepler-386 b,,0.124,12.31043,2014
2535,Kepler-386 c,,0.141,25.193458,2014
2536,Kepler-387 b,,0.092,6.791636,2014
2537,Kepler-387 c,,0.079,11.837549,2014
2538,Kepler-388 b,,0.072,3.173315,2014
2539,Kepler-388 c,,0.077,13.297004,2014
2540,Kepler-389 b,,0.135,3.244107,2014
2541,Kepler-389 c,,0.13,14.51143,2014
2542,Kepler-39 b,18,1.22,21.0874,2011
2543,Kepler-390 b,,0.073,6.738088,2014
2544,Kepler-390 c,,0.07,13.060022,2014
2545,Kepler-391 b,,0.285,7.416755,2014
2546,Kepler-391 c,,0.316,20.485435,2014
2547,Kepler-392 b,,0.089,5.341853,2014
2548,Kepler-392 c,,0.098,10.423118,2014
2549,Kepler-393 b,,0.115,9.182417,2014
2550,Kepler-393 c,,0.119,14.613612,2014
2551,Kepler-394 b,,0.143,8.005013,2014
2552,Kepler-394 c,,0.148,12.130686,2014
2553,Kepler-395 b,,0.092,7.054346,2014
2554,Kepler-395 c,,0.118,34.989262,2014
2555,Kepler-396 b,0.22,0.31,42.994,2013
2556,Kepler-396 c,0.053,0.47,88.505,2013
2557,Kepler-397 b,,0.219,22.250949,2014
2558,Kepler-397 c,,0.551,135.498527,2014
2559,Kepler-398 b,,0.083,4.081423,2014
2560,Kepler-398 c,,0.09,11.419412,2014
2561,Kepler-398 d,,0.079,6.83437001,2016
2562,Kepler-399 b,,0.086,14.425281,2014
2563,Kepler-399 c,,0.128,26.67569,2014
2564,Kepler-399 d,,0.169,58.034616,2014
2565,Kepler-4 b,0.082434006,0.356856735,3.21346,2010
2566,Kepler-40 b,2.2,1.17,6.87349,2010
2567,Kepler-400 b,,0.147,9.024389,2014
2568,Kepler-400 c,,0.133,17.340824,2014
2569,Kepler-401 b,,0.153,14.383035,2014
2570,Kepler-401 c,,0.192,47.318218,2014
2571,Kepler-401 d,,0.203,184.256405,2016
2572,Kepler-402 b,,0.109,4.028751,2014
2573,Kepler-402 c,,0.139,6.124821,2014
2574,Kepler-402 d,,0.123,8.921099,2014
2575,Kepler-402 e,,0.13,11.242861,2014
2576,Kepler-403 b,,0.112,7.031462,2014
2577,Kepler-403 c,,0.156,54.280749,2014
2578,Kepler-403 d,,0.127,13.61159129,2016
2579,Kepler-404 b,,0.113,11.829851,2014
2580,Kepler-404 c,,0.153,14.751166,2014
2581,Kepler-405 b,,0.186,10.613839,2014
2582,Kepler-405 c,,0.416,29.726682,2014
2583,Kepler-406 b,0.02,0.128,2.42629,2014
2584,Kepler-406 c,0.00853,0.076,4.62332,2014
2585,Kepler-408 b,0.02,0.073,2.56502,2013
2586,Kepler-409 b,0.0692,0.106,68.9584,2013
2587,Kepler-41  b,0.49,0.841,1.855558,2011
2588,Kepler-410 A b,,0.253189853,17.833648,2013
2589,Kepler-411 b,,0.168,3.00516,2013
2590,Kepler-411 c,,0.292,7.83442788,2016
2591,Kepler-412 b,0.939,1.325,1.720861232,2014
2592,Kepler-413 (AB) b,0.210804518,0.387814056,66.262,2013
2593,Kepler-418 b,1.1,1.2,86.67865,2014
2594,Kepler-419 b,2.5,0.85,69.7546,2012
2595,Kepler-419 c,7.3,,675.47,2014
2596,Kepler-42 b,0.009,0.07,1.2137672,2012
2597,Kepler-42 c,0.006,0.065,0.45328509,2012
2598,Kepler-42 d,0.003,0.051,1.856169,2012
2599,Kepler-420 A b,1.45,0.94,86.647661,2014
2600,Kepler-421 b,,0.371131004,704.1984,2014
2601,Kepler-422 b,0.43,1.15,7.8914483,2014
2602,Kepler-423 b,0.595,1.192,2.6843285,2014
2603,Kepler-424 b,1.03,0.89,3.3118644,2014
2604,Kepler-424 c,6.97,,223.3,2014
2605,Kepler-43 b,3.23,1.2,3.024095,2011
2606,Kepler-430 b,,0.29,35.968,2015
2607,Kepler-430 c,,0.29,110.979,2015
2608,Kepler-431 b,,0.0682,6.803,2015
2609,Kepler-431 c,,0.0596,8.703,2015
2610,Kepler-431 d,,0.099,11.922,2015
2611,Kepler-432 b,5.41,1.45,52.501134,2014
2612,Kepler-433 b,2.82,1.45,5.33408384,2012
2613,Kepler-434 b,2.86,1.13,12.877099,2015
2614,Kepler-435 b,0.84,1.99,8.6001536,2012
2615,Kepler-436 b,,0.244,64.00205,2015
2616,Kepler-436 c,,0.208,16.79713874,2016
2617,Kepler-437 b,,0.191,66.65062,2015
2618,Kepler-438 b,,0.0999,35.23319,2015
2619,Kepler-439 b,,0.2,178.1396,2015
2620,Kepler-44 b,1.02,1.24,3.24674,2011
2621,Kepler-440 b,,0.166,101.11141,2015
2622,Kepler-441 b,,0.146,207.2482,2015
2623,Kepler-442 b,,0.12,112.3053,2015
2624,Kepler-443 b,,0.208,177.6693,2015
2625,Kepler-444 b,,0.034,3.60001053,2015
2626,Kepler-444 c,,0.0437,4.5458841,2015
2627,Kepler-444 d,,0.0473,6.189392,2015
2628,Kepler-444 e,,0.0476,7.743493,2015
2629,Kepler-444 f,,0.0606,9.740486,2015
2630,Kepler-445 b,0.02,0.141,2.984151,2015
2631,Kepler-445 c,0.027,0.224,4.871229,2015
2632,Kepler-445 d,0.011,0.112,8.15275,2015
2633,Kepler-446 b,0.014,0.134,1.565409,2015
2634,Kepler-446 c,0.009,0.098,3.036179,2015
2635,Kepler-446 d,0.01,0.12,5.148921,2015
2636,Kepler-447 b,1.37,1.65,7.79430132,2015
2637,Kepler-448 b,10,1.43,17.8552333,2015
2638,Kepler-449 b,,0.1834,12.58242,2015
2639,Kepler-449 c,,0.2466,33.6727,2015
2640,Kepler-45 b,0.505,0.96,2.455239,2011
2641,Kepler-450 b,,0.548,28.454851,2015
2642,Kepler-450 c,,0.234,15.413135,2015
2643,Kepler-450 d,,0.0747,7.51464,2015
2644,Kepler-452 b,,0.145,384.843,2015
2645,Kepler-453 (AB) b,0.03,0.55,240.503,2014
2646,Kepler-454 b,0.0215,0.211,10.57375339,2015
2647,Kepler-454 c,4.46,,523.9,2015
2648,Kepler-455 b,,0.62,1322.3,2015
2649,Kepler-456 b,,0.589,1320.1,2015
2650,Kepler-457 b,,0.21,31.8099,2015
2651,Kepler-457 c,,0.21,75.2,2015
2652,Kepler-458 b,,0.41,572.3847,2015
2653,Kepler-458 c,,0.375,20.74028413,2016
2654,Kepler-459 b,,0.49,854.083,2015
2655,Kepler-46 b,0.885,0.812,33.60134,2012
2656,Kepler-46 c,0.362,,57.004,2012
2657,Kepler-460 b,,0.57,440.7813,2015
2658,Kepler-460 c,,0.492,220.1303357,2016
2659,Kepler-461 b,,0.23,8.31378306,2016
2660,Kepler-462 b,,0.45,84.69,2015
2661,Kepler-462 c,,0.43,207.58,2015
2662,Kepler-463 b,,0.272,8.98101683,2016
2663,Kepler-464 b,,0.294,7.25696522,2016
2664,Kepler-465 b,,0.263,9.94067247,2016
2665,Kepler-466 b,,0.254,51.07926307,2016
2666,Kepler-466 c,,0.112,3.70921385,2016
2667,Kepler-467 b,,0.201,24.99324193,2016
2668,Kepler-468 b,,1.19,38.47875707,2016
2669,Kepler-469 b,,1.597,33.80367628,2016
2670,Kepler-47 (AB) b,,0.27,49.514,2012
2671,Kepler-47 (AB) c,,0.41,303.148,2012
2672,Kepler-470 b,,1.288,24.66919569,2016
2673,Kepler-471 b,,1.335,5.01423457,2016
2674,Kepler-472 b,,0.287,4.17625551,2016
2675,Kepler-473 b,,0.364,14.55731705,2016
2676,Kepler-474 b,,0.273,5.66067294,2016
2677,Kepler-475 b,,0.222,3.10550819,2016
2678,Kepler-476 b,,0.275,14.00640607,2016
2679,Kepler-477 b,,0.185,11.11990653,2016
2680,Kepler-478 b,,0.242,13.2217576,2016
2681,Kepler-479 b,,0.189,12.49341307,2016
2682,Kepler-48 b,0.0124,0.168,4.778,2012
2683,Kepler-48 c,0.04597,0.242,9.673928,2012
2684,Kepler-48 d,0.025,0.182,42.8961,2014
2685,Kepler-48 e,2.067,,982,2014
2686,Kepler-480 b,,0.248,4.9195838,2016
2687,Kepler-481 b,,0.223,10.06082567,2016
2688,Kepler-482 b,,0.211,56.35418576,2016
2689,Kepler-483 b,,0.286,30.229104,2016
2690,Kepler-484 b,,0.203,10.04556931,2016
2691,Kepler-485 b,,1.286,3.2432598,2016
2692,Kepler-486 b,,0.981,30.36044667,2016
2693,Kepler-487 b,,1.019,15.3587684,2016
2694,Kepler-487 c,,0.239,38.6519976,2016
2695,Kepler-488 b,,1.409,3.12082923,2016
2696,Kepler-489 b,,0.689,17.27629612,2016
2697,Kepler-49 b,,0.24,7.2037945,2012
2698,Kepler-49 c,,0.23,10.9129343,2012
2699,Kepler-49 d,,0.143,2.576549,2014
2700,Kepler-49 e,,0.139,18.596108,2014
2701,Kepler-490 b,,1.039,3.26869515,2016
2702,Kepler-491 b,,0.796,4.22538451,2016
2703,Kepler-492 b,,0.856,11.72012266,2016
2704,Kepler-493 b,,1.35,3.00387658,2016
2705,Kepler-494 b,,0.637,8.02511821,2016
2706,Kepler-495 b,,0.467,3.41303622,2016
2707,Kepler-496 b,,0.207,8.30864937,2016
2708,Kepler-497 b,,0.539,3.57320367,2016
2709,Kepler-498 b,,0.27,9.61375356,2016
2710,Kepler-499 b,,0.194,5.63252845,2016
2711,Kepler-5 b,2.114,1.431,3.54846,2010
2712,Kepler-50 b,0.1,0.2,7.8125124,2012
2713,Kepler-50 c,0.11,0.25,9.3761368,2012
2714,Kepler-500 b,,0.23,8.5083244,2016
2715,Kepler-501 b,,0.384,5.64067757,2016
2716,Kepler-502 b,,0.426,4.28686431,2016
2717,Kepler-503 b,,0.559,7.25844721,2016
2718,Kepler-504 b,,0.142,9.54927542,2016
2719,Kepler-505 b,,0.232,27.52197994,2016
2720,Kepler-506 b,,0.244,6.8834055,2016
2721,Kepler-507 b,,0.116,3.56809693,2016
2722,Kepler-508 b,,0.146,25.30889748,2016
2723,Kepler-509 b,,0.222,41.74600392,2016
2724,Kepler-51 b,0.006607306,0.633420704,45.1555023,2012
2725,Kepler-51 c,0.012585344,0.802927653,85.3128662,2012
2726,Kepler-510 b,,0.22,19.55659418,2016
2727,Kepler-511 b,,0.567,296.637865,2016
2728,Kepler-512 b,,0.24,34.43587975,2016
2729,Kepler-513 b,,0.196,28.86235584,2016
2730,Kepler-514 b,,0.153,5.65179605,2016
2731,Kepler-515 b,,0.13,19.96371318,2016
2732,Kepler-516 b,,0.512,24.85462415,2016
2733,Kepler-517 b,,0.238,60.92832271,2016
2734,Kepler-518 b,,0.188,8.51203588,2016
2735,Kepler-519 b,,0.187,24.3078946,2016
2736,Kepler-52 b,8.7,0.19,7.8773565,2012
2737,Kepler-52 c,10.41,0.16,16.3850021,2012
2738,Kepler-52 d,,0.174,36.445171,2014
2739,Kepler-520 b,,0.148,19.67416124,2016
2740,Kepler-520 c,,0.095,5.21104261,2016
2741,Kepler-521 b,,0.284,22.20813214,2016
2742,Kepler-522 b,,0.616,38.58422849,2016
2743,Kepler-523 b,,0.175,5.83598311,2016
2744,Kepler-524 b,,0.17,7.97419807,2016
2745,Kepler-524 c,,0.086,1.88897906,2016
2746,Kepler-525 b,,0.235,18.68404933,2016
2747,Kepler-526 b,,0.178,5.45849832,2016
2748,Kepler-527 b,,0.253,13.28535633,2016
2749,Kepler-528 b,,0.186,19.78297415,2016
2750,Kepler-529 b,,0.166,1.98035766,2016
2751,Kepler-529 c,,0.178,12.8345022,2016
2752,Kepler-53 b,18.41,0.26,18.6489525,2012
2753,Kepler-53 c,15.75,0.28,38.5583038,2012
2754,Kepler-53 d,,0.189,9.751962,2014
2755,Kepler-530 b,,0.269,39.30941904,2016
2756,Kepler-531 b,,0.248,29.88485741,2016
2757,Kepler-532 b,,0.229,12.92491623,2016
2758,Kepler-533 b,,0.302,28.51120525,2016
2759,Kepler-534 b,,0.2,15.95994513,2016
2760,Kepler-535 b,,0.211,4.90332155,2016
2761,Kepler-536 b,,0.277,1.8270823,2016
2762,Kepler-537 b,,0.126,3.24755522,2016
2763,Kepler-538 b,,0.202,81.73780699,2016
2764,Kepler-539 b,0.97,0.747,125.63243,2015
2765,Kepler-539 c,2.4,,1000,2015
2766,Kepler-54 b,,0.19,8.0109434,2012
2767,Kepler-54 c,,0.11,12.0717249,2012
2768,Kepler-54 d,,0.136,20.995694,2014
2769,Kepler-540 b,,0.242,172.7049784,2016
2770,Kepler-541 b,,0.3,5.08005848,2016
2771,Kepler-542 b,,0.14,13.14497566,2016
