row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
349,HATS-43 b,0.261,1.18,4.3888497,2017
350,HATS-44 b,0.56,1.067,2.7439004,2017
351,HATS-45 b,0.7,1.286,4.1876244,2017
352,HATS-46 b,0.173,0.903,4.7423729,2017
353,HATS-5 b,0.237,0.912,4.763387,2014
354,HATS-50 b,0.39,1.13,3.8297015,2017
355,HATS-51 b,0.768,1.41,3.3488702,2017
356,HATS-52 b,2.24,1.382,1.3665436,2017
357,HATS-53 b,0.595,1.34,3.8537768,2017
358,HATS-6 b,0.319,0.998,3.3252725,2014
359,HATS-7 b,0.12,0.563,3.185315,2015
360,HATS-8 b,0.138,0.873,3.583893,2015
361,HATS-9 b,0.839,1.065,1.9153073,2015
362,HD 100655 b,1.7,,157.57,2011
363,HD 100777 b,1.16,,383.7,2007
364,HD 10180 c,0.041217,,5.75979,2010
365,HD 10180 d,0.03696945,,16.3579,2010
366,HD 10180 e,0.07897304,,49.745,2010
367,HD 10180 f,0.07519743,,122.76,2010
368,HD 10180 g,0.06733159,,601.2,2010
369,HD 10180 h,0.202624,,2222,2010
370,HD 101930 b,0.3,,70.46,2005
371,HD 102117 b,0.172,,20.67,2004
372,HD 102195 b,0.45,,4.113775,2005
373,HD 102272 b,5.9,,127.58,2008
374,HD 102272 c,2.6,,520,2008
375,HD 102329 b,5.9,,778.1,2011
376,HD 102365 b,0.05,,122.1,2011
377,HD 102956 b,0.96,,6.495,2010
378,HD 103197 b,0.098,,47.84,2009
379,HD 103720 b,0.62,,4.5557,2014
380,HD 103774 b,0.367,,5.8881,2013
381,HD 104067 b,0.186,,55.806,2009
382,HD 10442 b,2.1,,1043,2014
383,HD 104985 b,8.3,,199.505,2003
384,HD 106252 b,32.9,,1600,2002
385,HD 106270 b,11,,2890,2011
386,HD 106315 b,0.0396,0.218,9.5521,2017
387,HD 106315 c,0.0478,0.352,21.0576,2017
388,HD 10647 b,0.93,,1003,2003
389,HD 106515 A b,9.61,,3630,2011
390,HD 106906 b,11,,,2013
391,HD 10697 b,6.83,,1076.4,2000
392,HD 107148 b,0.21,,48.056,2006
393,HD 108147 b,0.261,,10.8985,2002
394,HD 108341 b,3.5,,1129,2014
395,HD 108863 b,2.6,,443.4,2011
396,HD 108874 b,1.36,,395.4,2003
397,HD 108874 c,1.018,,1605.8,2005
398,HD 109246 b,0.77,,68.27,2010
399,HD 109271 b,0.054,,7.8543,2013
400,HD 109271 c,0.076,,30.93,2013
401,HD 109749 b,0.28,0.99,5.23921,2005
402,HD 110014 b,10.7,,882.6,2009
403,HD 110014 c,3.1,,130,2015
404,HD 111232 b,6.8,,1143,2004
405,HD 111591 b,4.4,,1056.4,2017
406,HD 113337 b,2.83,,324,2013
407,HD 113538 b,0.36,,663.2,2010
408,HD 113538 c,0.93,,1818,2010
